PC: 8000, OpCode: 0, Instruction: BRK
PC: 8001, OpCode: 78, Instruction: SEI
PC: 8002, OpCode: d8, Instruction: CLD
PC: 8004, OpCode: a9, Instruction: LDA
PC: 8007, OpCode: 8d, Instruction: STA
PC: 8009, OpCode: a2, Instruction: LDX
PC: 800a, OpCode: 9a, Instruction: TXS
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
PC: 800d, OpCode: ad, Instruction: LDA
PC: 800a, OpCode: 10, Instruction: BPL
